# hmmsearch :: search profile(s) against a sequence database
# HMMER 3.3.2 (Nov 2020); http://hmmer.org/
# Copyright (C) 2020 Howard Hughes Medical Institute.
# Freely distributed under the BSD open source license.
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# query HMM file:                  petml/data/unsupervised/petase_hmm.txt
# target sequence database:        petml/data/tmp/sequences.fasta
# output directed to file:         ./petml_output/petase_hmmout/output.txt
# MSA of all hits saved to file:   ./petml_output/petase_hmmout/aln.sto
# per-seq hits tabular output:     ./petml_output/petase_hmmout/tab_output.txt
# show alignments in output:       no
# sequence reporting threshold:    score >= 0
# domain reporting threshold:      score >= 0
# sequence inclusion threshold:    score >= 0
# domain inclusion threshold:      score >= 0
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -

Query:       current_petases_msa  [M=332]
Scores for complete sequences (score includes all domains):
   --- full sequence ---   --- best 1 domain ---    -#dom-
    E-value  score  bias    E-value  score  bias    exp  N  Sequence Description
   2.7e-134  442.8   0.1     3e-134  442.6   0.1    1.0  1  Seq410    
   2.7e-134  442.8   0.1     3e-134  442.6   0.1    1.0  1  Seq102    
   2.7e-134  442.8   0.1   3.1e-134  442.6   0.1    1.0  1  Seq480    
   2.8e-134  442.8   0.1   3.1e-134  442.6   0.1    1.0  1  Seq251    
     3e-134  442.7   0.0   3.3e-134  442.5   0.0    1.0  1  Seq420    
   3.3e-134  442.5   0.1   3.7e-134  442.4   0.1    1.0  1  Seq326    
   3.9e-134  442.3   0.1   4.4e-134  442.1   0.1    1.0  1  Seq338    
   5.2e-134  441.9   0.0   5.8e-134  441.7   0.0    1.0  1  Seq412    
   5.8e-134  441.7   0.0   6.4e-134  441.6   0.0    1.0  1  Seq245    
   6.6e-134  441.5   0.0   7.3e-134  441.4   0.0    1.0  1  Seq39     
   7.1e-134  441.4   0.0   7.9e-134  441.3   0.0    1.0  1  Seq129    
   7.2e-134  441.4   0.1   8.1e-134  441.2   0.1    1.0  1  Seq176    
   7.3e-134  441.4   0.0   8.1e-134  441.2   0.0    1.0  1  Seq29     
   7.3e-134  441.4   0.0   8.1e-134  441.2   0.0    1.0  1  Seq118    
   7.3e-134  441.4   0.1   8.1e-134  441.2   0.1    1.0  1  Seq447    
   7.3e-134  441.4   0.0   8.1e-134  441.2   0.0    1.0  1  Seq474    
   8.2e-134  441.2   0.0   9.2e-134  441.1   0.0    1.0  1  Seq48     
   8.5e-134  441.2   0.0   9.4e-134  441.0   0.0    1.0  1  Seq276    
   8.5e-134  441.2   0.0   9.5e-134  441.0   0.0    1.0  1  Seq63     
   9.6e-134  441.0   0.0   1.1e-133  440.8   0.0    1.0  1  Seq263    
     1e-133  440.9   0.1   1.1e-133  440.8   0.1    1.0  1  Seq235    
     1e-133  440.9   0.1   1.1e-133  440.7   0.1    1.0  1  Seq497    
   1.2e-133  440.7   0.0   1.3e-133  440.5   0.0    1.0  1  Seq93     
   1.3e-133  440.5   0.0   1.5e-133  440.4   0.0    1.0  1  Seq454    
   1.5e-133  440.3   0.0   1.7e-133  440.2   0.0    1.0  1  Seq421    
   1.7e-133  440.2   0.0   1.9e-133  440.0   0.0    1.0  1  Seq197    
   1.7e-133  440.2   0.1   1.9e-133  440.1   0.1    1.0  1  Seq300    
   1.7e-133  440.2   0.1   1.9e-133  440.0   0.1    1.0  1  Seq108    
   1.7e-133  440.2   0.0   1.9e-133  440.0   0.0    1.0  1  Seq435    
   1.9e-133  440.0   0.0   2.1e-133  439.9   0.0    1.0  1  Seq216    
     2e-133  439.9   0.1   2.2e-133  439.8   0.1    1.0  1  Seq455    
   2.1e-133  439.9   0.1   2.3e-133  439.7   0.1    1.0  1  Seq196    
   2.2e-133  439.8   0.0   2.5e-133  439.6   0.0    1.0  1  Seq451    
   2.3e-133  439.7   0.0   2.6e-133  439.6   0.0    1.0  1  Seq365    
   2.5e-133  439.6   0.0   2.8e-133  439.5   0.0    1.0  1  Seq269    
   2.5e-133  439.6   0.0   2.8e-133  439.5   0.0    1.0  1  Seq470    
   2.8e-133  439.5   0.0   3.1e-133  439.3   0.0    1.0  1  Seq422    
   3.3e-133  439.2   0.0   3.7e-133  439.1   0.0    1.0  1  Seq310    
     7e-133  438.2   0.0   7.8e-133  438.0   0.0    1.0  1  Seq354    
   7.6e-133  438.0   0.0   8.4e-133  437.9   0.0    1.0  1  Seq46     
   8.5e-133  437.9   0.0   9.5e-133  437.7   0.0    1.0  1  Seq401    
   9.5e-133  437.7   0.0   1.1e-132  437.6   0.0    1.0  1  Seq194    
   1.1e-132  437.5   0.0   1.2e-132  437.3   0.0    1.0  1  Seq170    
   1.1e-132  437.5   0.0   1.2e-132  437.3   0.0    1.0  1  Seq265    
   1.2e-132  437.4   0.0   1.3e-132  437.3   0.0    1.0  1  Seq150    
   1.3e-132  437.3   0.0   1.4e-132  437.2   0.0    1.0  1  Seq206    
   1.3e-132  437.3   0.0   1.5e-132  437.1   0.0    1.0  1  Seq465    
   1.4e-132  437.2   0.0   1.6e-132  437.0   0.0    1.0  1  Seq280    
   1.4e-132  437.1   0.0   1.6e-132  437.0   0.0    1.0  1  Seq403    
   1.5e-132  437.1   0.0   1.6e-132  436.9   0.0    1.0  1  Seq184    
   1.7e-132  436.9   0.0   1.9e-132  436.8   0.0    1.0  1  Seq205    
   3.4e-132  435.9   0.0   3.8e-132  435.7   0.0    1.0  1  Seq247    
   7.6e-132  434.7   0.0   8.5e-132  434.6   0.0    1.0  1  Seq74     
     2e-131  433.4   0.1   2.2e-131  433.2   0.1    1.0  1  Seq34     
   6.7e-131  431.6   0.2   7.5e-131  431.5   0.2    1.0  1  Seq320    
   9.7e-131  431.1   0.1   1.1e-130  431.0   0.1    1.0  1  Seq36     
   2.5e-130  429.8   0.1   2.8e-130  429.6   0.1    1.0  1  Seq228    
     6e-130  428.5   0.1   6.7e-130  428.4   0.1    1.0  1  Seq381    
   2.2e-129  426.7   0.1   2.5e-129  426.5   0.1    1.0  1  Seq292    
   3.8e-129  425.9   0.1   4.2e-129  425.7   0.1    1.0  1  Seq325    
   2.6e-128  423.1   0.3   2.9e-128  423.0   0.3    1.0  1  Seq112    
   5.9e-128  422.0   0.3   6.5e-128  421.8   0.3    1.0  1  Seq380    
   2.3e-127  420.1   0.3   2.5e-127  419.9   0.3    1.0  1  Seq120    
   2.5e-127  419.9   0.3   2.8e-127  419.7   0.3    1.0  1  Seq182    
   4.3e-127  419.1   0.0   4.8e-127  419.0   0.0    1.0  1  Seq289    
   5.8e-127  418.7   0.4   6.4e-127  418.6   0.4    1.0  1  Seq306    
   6.9e-127  418.5   0.4   7.6e-127  418.3   0.4    1.0  1  Seq186    
   7.8e-127  418.3   0.3   8.7e-127  418.1   0.3    1.0  1  Seq494    
   8.6e-127  418.1   0.5   9.6e-127  418.0   0.5    1.0  1  Seq458    
   9.7e-127  418.0   0.4   1.1e-126  417.8   0.4    1.0  1  Seq65     
   9.9e-127  417.9   0.4   1.1e-126  417.8   0.4    1.0  1  Seq386    
   1.1e-126  417.8   0.4   1.2e-126  417.6   0.4    1.0  1  Seq144    
   1.2e-126  417.7   0.3   1.3e-126  417.5   0.3    1.0  1  Seq501    
   1.3e-126  417.5   0.4   1.5e-126  417.4   0.4    1.0  1  Seq433    
   1.4e-126  417.4   0.3   1.6e-126  417.3   0.3    1.0  1  Seq47     
     2e-126  416.9   0.4   2.3e-126  416.8   0.4    1.0  1  Seq140    
   2.5e-126  416.6   0.4   2.8e-126  416.4   0.4    1.0  1  Seq267    
   3.3e-126  416.2   0.4   3.7e-126  416.1   0.4    1.0  1  Seq351    
   3.7e-126  416.1   0.4   4.1e-126  415.9   0.4    1.0  1  Seq171    
   3.9e-126  416.0   0.4   4.4e-126  415.8   0.4    1.0  1  Seq368    
     4e-126  415.9   0.4   4.5e-126  415.8   0.4    1.0  1  Seq172    
   4.7e-126  415.7   0.3   5.2e-126  415.6   0.3    1.0  1  Seq378    
   5.2e-126  415.6   0.3   5.8e-126  415.4   0.3    1.0  1  Seq101    
   5.4e-126  415.5   0.4     6e-126  415.4   0.4    1.0  1  Seq311    
   5.5e-126  415.5   0.4   6.1e-126  415.3   0.4    1.0  1  Seq183    
   5.5e-126  415.5   0.4   6.2e-126  415.3   0.4    1.0  1  Seq166    
   6.5e-126  415.2   0.3   7.3e-126  415.1   0.3    1.0  1  Seq359    
   7.4e-126  415.1   0.4   8.3e-126  414.9   0.4    1.0  1  Seq180    
   7.9e-126  415.0   0.4   8.8e-126  414.8   0.4    1.0  1  Seq341    
     1e-125  414.6   0.4   1.1e-125  414.5   0.4    1.0  1  Seq107    
     2e-125  413.7   0.3   2.2e-125  413.5   0.3    1.0  1  Seq214    
   2.7e-125  413.2   0.1     3e-125  413.1   0.1    1.0  1  Seq291    
   7.1e-125  411.8   0.4     8e-125  411.7   0.4    1.0  1  Seq258    
   1.8e-124  410.5   0.1     2e-124  410.4   0.1    1.0  1  Seq371    
   1.9e-124  410.5   0.1   2.1e-124  410.3   0.1    1.0  1  Seq227    
   3.9e-124  409.4   0.2   4.3e-124  409.3   0.2    1.0  1  Seq189    
   1.5e-122  404.2   0.0   1.7e-122  404.1   0.0    1.0  1  Seq357    
   2.8e-122  403.3   0.4   3.1e-122  403.2   0.4    1.0  1  Seq353    
   6.3e-121  398.9   1.1     7e-121  398.7   1.1    1.0  1  Seq67     
   1.8e-120  397.4   0.1   1.9e-120  397.3   0.1    1.0  1  Seq116    
   6.4e-120  395.6   0.9   7.5e-120  395.3   0.9    1.0  1  Seq457    
   7.4e-120  395.3   2.3   9.7e-120  395.0   2.3    1.1  1  Seq103    
   9.9e-120  394.9   1.5   1.3e-119  394.6   1.5    1.1  1  Seq252    
   1.1e-119  394.8   1.7   1.4e-119  394.5   1.7    1.1  1  Seq43     
   1.4e-119  394.4   1.8   1.9e-119  394.0   1.8    1.1  1  Seq236    
   1.6e-119  394.2   0.0   1.8e-119  394.1   0.0    1.0  1  Seq62     
   2.7e-119  393.5   1.8   3.5e-119  393.1   1.8    1.1  1  Seq229    
   2.7e-119  393.5   1.8   3.5e-119  393.1   1.8    1.1  1  Seq41     
   2.7e-119  393.5   1.7   3.5e-119  393.1   1.7    1.1  1  Seq468    
   3.4e-119  393.2   1.0     4e-119  392.9   1.0    1.0  1  Seq287    
   3.7e-119  393.0   1.7   4.8e-119  392.7   1.7    1.1  1  Seq11     
   3.9e-119  393.0   0.8   4.6e-119  392.7   0.8    1.0  1  Seq164    
   4.4e-119  392.8   0.8   5.2e-119  392.6   0.8    1.0  1  Seq296    
   5.1e-119  392.6   1.0   5.9e-119  392.4   1.0    1.0  1  Seq85     
   5.6e-119  392.5   0.0   6.2e-119  392.3   0.0    1.0  1  Seq211    
   5.7e-119  392.4   0.9   6.8e-119  392.2   0.9    1.0  1  Seq388    
   6.2e-119  392.3   0.0     7e-119  392.2   0.0    1.0  1  Seq434    
   7.9e-119  392.0   0.0   8.9e-119  391.8   0.0    1.0  1  Seq324    
   9.3e-119  391.7   0.0     1e-118  391.6   0.0    1.0  1  Seq460    
   9.5e-119  391.7   0.0   1.1e-118  391.5   0.0    1.0  1  Seq126    
   9.9e-119  391.7   0.7   1.2e-118  391.4   0.7    1.0  1  Seq131    
     1e-118  391.6   0.0   1.1e-118  391.5   0.0    1.0  1  Seq414    
     1e-118  391.6   0.0   1.1e-118  391.4   0.0    1.0  1  Seq369    
   1.1e-118  391.5   0.8   1.3e-118  391.3   0.8    1.0  1  Seq271    
   1.2e-118  391.4   0.0   1.4e-118  391.2   0.0    1.0  1  Seq223    
   1.3e-118  391.3   1.3   1.5e-118  391.1   1.3    1.0  1  Seq395    
   1.3e-118  391.2   0.8   1.6e-118  391.0   0.8    1.0  1  Seq298    
   1.4e-118  391.1   1.9   1.9e-118  390.7   1.9    1.1  1  Seq255    
   1.6e-118  390.9   1.5   1.9e-118  390.7   1.5    1.0  1  Seq32     
   1.7e-118  390.9   0.8     2e-118  390.6   0.8    1.0  1  Seq239    
     2e-118  390.7   0.9   2.3e-118  390.4   0.9    1.0  1  Seq340    
     2e-118  390.7   1.5   2.3e-118  390.4   1.5    1.0  1  Seq360    
     2e-118  390.6   0.0   2.3e-118  390.5   0.0    1.0  1  Seq51     
   2.1e-118  390.6   1.9   2.8e-118  390.2   1.9    1.1  1  Seq5      
   2.2e-118  390.5   0.9   2.5e-118  390.3   0.9    1.0  1  Seq347    
   2.2e-118  390.5   0.0   2.5e-118  390.3   0.0    1.0  1  Seq84     
   2.5e-118  390.3   0.0   2.8e-118  390.2   0.0    1.0  1  Seq165    
   2.6e-118  390.3   1.7   3.1e-118  390.0   1.7    1.0  1  Seq432    
   2.7e-118  390.2   1.0   3.2e-118  390.0   1.0    1.0  1  Seq195    
     3e-118  390.1   0.0   3.3e-118  389.9   0.0    1.0  1  Seq3      
   3.2e-118  390.0   0.0   3.6e-118  389.8   0.0    1.0  1  Seq366    
   3.3e-118  389.9   0.0   3.7e-118  389.8   0.0    1.0  1  Seq332    
   3.6e-118  389.8   0.0     4e-118  389.6   0.0    1.0  1  Seq26     
   4.5e-118  389.5   0.5   5.3e-118  389.3   0.5    1.0  1  Seq243    
   4.6e-118  389.4   0.9   5.4e-118  389.2   0.9    1.0  1  Seq192    
   4.8e-118  389.4   0.0   5.4e-118  389.2   0.0    1.0  1  Seq12     
   4.9e-118  389.4   1.0   5.7e-118  389.1   1.0    1.0  1  Seq425    
     5e-118  389.3   0.4   5.9e-118  389.1   0.4    1.0  1  Seq260    
   5.5e-118  389.2   0.3   6.5e-118  389.0   0.3    1.0  1  Seq355    
   5.6e-118  389.2   0.9   6.6e-118  388.9   0.9    1.0  1  Seq331    
   6.2e-118  389.0   1.1   7.3e-118  388.8   1.1    1.0  1  Seq315    
   6.4e-118  389.0   0.0   7.1e-118  388.8   0.0    1.0  1  Seq404    
   7.5e-118  388.8   1.1   8.8e-118  388.5   1.1    1.0  1  Seq232    
   7.5e-118  388.8   0.1   8.4e-118  388.6   0.1    1.0  1  Seq27     
   9.4e-118  388.4   0.4   1.1e-117  388.2   0.4    1.0  1  Seq293    
   9.7e-118  388.4   1.3   1.1e-117  388.2   1.3    1.0  1  Seq163    
   1.1e-117  388.2   0.0   1.3e-117  388.0   0.0    1.0  1  Seq350    
   1.1e-117  388.1   1.9   1.5e-117  387.8   1.9    1.1  1  Seq449    
   1.2e-117  388.1   0.1   1.3e-117  388.0   0.1    1.0  1  Seq335    
   1.2e-117  388.1   0.6   1.4e-117  387.9   0.6    1.0  1  Seq490    
   1.4e-117  387.9   0.4   1.6e-117  387.7   0.4    1.0  1  Seq159    
   1.4e-117  387.9   0.4   1.6e-117  387.7   0.4    1.0  1  Seq313    
   1.7e-117  387.6   0.4     2e-117  387.3   0.4    1.0  1  Seq191    
   1.7e-117  387.5   0.4     2e-117  387.3   0.4    1.0  1  Seq372    
   1.8e-117  387.5   0.1     2e-117  387.4   0.1    1.0  1  Seq123    
   1.8e-117  387.5   0.4   2.1e-117  387.3   0.4    1.0  1  Seq294    
   1.9e-117  387.4   0.9   2.2e-117  387.2   0.9    1.0  1  Seq72     
   1.9e-117  387.4   0.4   2.2e-117  387.2   0.4    1.0  1  Seq138    
   1.9e-117  387.4   0.4   2.3e-117  387.2   0.4    1.0  1  Seq97     
     2e-117  387.4   0.5   2.3e-117  387.2   0.5    1.0  1  Seq142    
   2.2e-117  387.2   0.5   2.5e-117  387.0   0.5    1.0  1  Seq411    
   2.3e-117  387.2   0.4   2.7e-117  387.0   0.4    1.0  1  Seq230    
   2.3e-117  387.2   0.4   2.7e-117  386.9   0.4    1.0  1  Seq244    
   2.3e-117  387.1   0.5   2.7e-117  386.9   0.5    1.0  1  Seq124    
   2.5e-117  387.1   0.4   2.9e-117  386.8   0.4    1.0  1  Seq78     
   2.6e-117  387.0   0.4     3e-117  386.8   0.4    1.0  1  Seq393    
   2.6e-117  387.0   0.0   2.9e-117  386.8   0.0    1.0  1  Seq237    
   2.7e-117  386.9   0.4   3.1e-117  386.7   0.4    1.0  1  Seq452    
   2.9e-117  386.8   0.5   3.4e-117  386.6   0.5    1.0  1  Seq55     
   3.1e-117  386.7   0.3   3.6e-117  386.5   0.3    1.0  1  Seq346    
   3.2e-117  386.7   0.4   3.7e-117  386.5   0.4    1.0  1  Seq377    
   3.2e-117  386.7   0.4   3.7e-117  386.5   0.4    1.0  1  Seq203    
   3.3e-117  386.6   0.0   3.7e-117  386.5   0.0    1.0  1  Seq49     
   3.4e-117  386.6   0.4     4e-117  386.4   0.4    1.0  1  Seq92     
   4.1e-117  386.3   0.4   4.8e-117  386.1   0.4    1.0  1  Seq35     
   4.2e-117  386.3   0.5   4.9e-117  386.1   0.5    1.0  1  Seq231    
   4.3e-117  386.3   0.4   5.1e-117  386.0   0.4    1.0  1  Seq475    
   4.5e-117  386.2   0.4   5.2e-117  386.0   0.4    1.0  1  Seq285    
   4.7e-117  386.1   0.4   5.5e-117  385.9   0.4    1.0  1  Seq158    
   4.8e-117  386.1   0.4   5.6e-117  385.9   0.4    1.0  1  Seq160    
   4.9e-117  386.1   0.3   5.7e-117  385.9   0.3    1.0  1  Seq328    
   4.9e-117  386.1   0.0   5.4e-117  385.9   0.0    1.0  1  Seq488    
   4.9e-117  386.1   0.4   5.8e-117  385.8   0.4    1.0  1  Seq90     
   5.1e-117  386.0   0.4   5.9e-117  385.8   0.4    1.0  1  Seq234    
   5.1e-117  386.0   0.3     6e-117  385.8   0.3    1.0  1  Seq42     
   5.3e-117  386.0   0.4   6.2e-117  385.7   0.4    1.0  1  Seq208    
   5.7e-117  385.9   0.0   6.4e-117  385.7   0.0    1.0  1  Seq408    
   6.1e-117  385.8   0.4   7.1e-117  385.5   0.4    1.0  1  Seq406    
   6.3e-117  385.7   0.2     7e-117  385.6   0.2    1.0  1  Seq168    
   7.7e-117  385.4   0.3     9e-117  385.2   0.3    1.0  1  Seq437    
   7.7e-117  385.4   0.4     9e-117  385.2   0.4    1.0  1  Seq145    
     8e-117  385.4   1.2   9.4e-117  385.1   1.2    1.0  1  Seq83     
     8e-117  385.4   0.3   9.4e-117  385.2   0.3    1.0  1  Seq40     
   8.3e-117  385.3   0.0   9.3e-117  385.2   0.0    1.0  1  Seq379    
   8.5e-117  385.3   0.4   9.9e-117  385.1   0.4    1.0  1  Seq402    
   8.9e-117  385.2   0.4     1e-116  385.0   0.4    1.0  1  Seq441    
   9.1e-117  385.2   0.3   1.1e-116  385.0   0.3    1.0  1  Seq18     
   1.2e-116  384.8   0.3   1.4e-116  384.6   0.3    1.0  1  Seq428    
   1.2e-116  384.8   0.0   1.4e-116  384.6   0.0    1.0  1  Seq500    
   1.6e-116  384.4   0.0   1.7e-116  384.3   0.0    1.0  1  Seq80     
   3.4e-116  383.3   0.2   3.7e-116  383.2   0.2    1.0  1  Seq356    
   4.3e-116  383.0   0.4   5.1e-116  382.7   0.4    1.0  1  Seq4      
   5.2e-116  382.7   1.0   6.2e-116  382.5   1.0    1.0  1  Seq297    
   1.1e-115  381.7   0.0   1.2e-115  381.5   0.0    1.0  1  Seq224    
     5e-115  379.5   0.6   5.8e-115  379.3   0.6    1.0  1  Seq405    
     6e-115  379.2   4.1   6.7e-115  379.1   4.1    1.0  1  Seq396    
     6e-115  379.2   0.0   6.7e-115  379.1   0.0    1.0  1  Seq73     
   1.3e-114  378.1   4.1   1.5e-114  377.9   4.1    1.0  1  Seq242    
   1.4e-114  378.0   4.5   1.6e-114  377.8   4.5    1.0  1  Seq9      
   2.2e-114  377.3   4.3   2.5e-114  377.2   4.3    1.0  1  Seq110    
   2.5e-114  377.2   4.5   2.8e-114  377.0   4.5    1.0  1  Seq463    
   2.5e-114  377.2   4.4   2.8e-114  377.0   4.4    1.0  1  Seq226    
   2.6e-114  377.1   0.6   2.8e-114  377.0   0.6    1.0  1  Seq314    
   2.8e-114  377.0   4.4   3.2e-114  376.8   4.4    1.0  1  Seq28     
   2.9e-114  377.0   4.2   3.2e-114  376.8   4.2    1.0  1  Seq253    
   2.9e-114  376.9   0.0   3.5e-114  376.7   0.0    1.0  1  Seq309    
     3e-114  376.9   4.4   3.4e-114  376.8   4.4    1.0  1  Seq1      
   3.2e-114  376.8   3.6   3.6e-114  376.7   3.6    1.0  1  Seq238    
   3.2e-114  376.8   4.6   3.6e-114  376.7   4.6    1.0  1  Seq249    
   3.4e-114  376.7   4.3   3.9e-114  376.6   4.3    1.0  1  Seq113    
   3.5e-114  376.7   4.7   3.9e-114  376.5   4.7    1.0  1  Seq217    
   4.4e-114  376.4   4.7   4.9e-114  376.2   4.7    1.0  1  Seq391    
     5e-114  376.2   4.4   5.6e-114  376.0   4.4    1.0  1  Seq127    
   5.2e-114  376.1   4.2   5.8e-114  376.0   4.2    1.0  1  Seq339    
   5.3e-114  376.1   4.7   5.9e-114  375.9   4.7    1.0  1  Seq246    
   6.4e-114  375.8   4.3   7.2e-114  375.7   4.3    1.0  1  Seq424    
   6.8e-114  375.7   4.3   7.6e-114  375.6   4.3    1.0  1  Seq305    
   6.9e-114  375.7   4.7   7.8e-114  375.6   4.7    1.0  1  Seq264    
   6.9e-114  375.7   4.7   7.8e-114  375.5   4.7    1.0  1  Seq151    
     7e-114  375.7   4.1   7.9e-114  375.5   4.1    1.0  1  Seq240    
     7e-114  375.7   4.9   7.9e-114  375.5   4.9    1.0  1  Seq485    
   7.1e-114  375.7   5.0     8e-114  375.5   5.0    1.0  1  Seq98     
   7.2e-114  375.7   4.5   8.1e-114  375.5   4.5    1.0  1  Seq415    
   7.3e-114  375.6   4.1   8.3e-114  375.5   4.1    1.0  1  Seq417    
   8.4e-114  375.5   4.5   9.4e-114  375.3   4.5    1.0  1  Seq134    
   8.7e-114  375.4   4.2   9.7e-114  375.2   4.2    1.0  1  Seq213    
   8.8e-114  375.4   4.5   9.9e-114  375.2   4.5    1.0  1  Seq349    
   9.1e-114  375.3   4.0     1e-113  375.2   4.0    1.0  1  Seq283    
   9.5e-114  375.3   4.8   1.1e-113  375.1   4.8    1.0  1  Seq250    
   9.7e-114  375.2   4.4   1.1e-113  375.1   4.4    1.0  1  Seq16     
     1e-113  375.2   4.1   1.2e-113  375.0   4.1    1.0  1  Seq89     
     1e-113  375.1   4.1   1.2e-113  375.0   4.1    1.0  1  Seq321    
   1.1e-113  375.1   1.1   1.2e-113  375.0   1.1    1.0  1  Seq122    
   1.1e-113  375.1   3.6   1.2e-113  374.9   3.6    1.0  1  Seq279    
   1.1e-113  375.1   3.9   1.2e-113  374.9   3.9    1.0  1  Seq20     
   1.1e-113  375.1   4.7   1.2e-113  374.9   4.7    1.0  1  Seq128    
   1.1e-113  375.1   4.5   1.2e-113  374.9   4.5    1.0  1  Seq479    
   1.1e-113  375.1   3.9   1.2e-113  374.9   3.9    1.0  1  Seq266    
   1.1e-113  375.0   3.8   1.3e-113  374.9   3.8    1.0  1  Seq270    
   1.1e-113  375.0   4.4   1.3e-113  374.9   4.4    1.0  1  Seq54     
   1.1e-113  375.0   3.9   1.3e-113  374.8   3.9    1.0  1  Seq114    
   1.2e-113  375.0   4.7   1.3e-113  374.8   4.7    1.0  1  Seq209    
   1.2e-113  375.0   3.8   1.3e-113  374.8   3.8    1.0  1  Seq477    
   1.2e-113  375.0   4.2   1.3e-113  374.8   4.2    1.0  1  Seq185    
   1.2e-113  375.0   4.4   1.3e-113  374.8   4.4    1.0  1  Seq407    
   1.2e-113  374.9   4.8   1.4e-113  374.8   4.8    1.0  1  Seq111    
   1.3e-113  374.9   4.9   1.4e-113  374.7   4.9    1.0  1  Seq193    
   1.3e-113  374.9   0.1   1.5e-113  374.6   0.1    1.0  1  Seq14     
   1.4e-113  374.7   5.0   1.6e-113  374.6   5.0    1.0  1  Seq333    
   1.4e-113  374.7   4.8   1.6e-113  374.5   4.8    1.0  1  Seq442    
   1.4e-113  374.7   4.6   1.6e-113  374.5   4.6    1.0  1  Seq419    
   1.4e-113  374.7   3.8   1.6e-113  374.5   3.8    1.0  1  Seq482    
   1.5e-113  374.7   4.1   1.6e-113  374.5   4.1    1.0  1  Seq439    
   1.5e-113  374.6   4.2   1.7e-113  374.5   4.2    1.0  1  Seq188    
   1.5e-113  374.6   4.3   1.7e-113  374.5   4.3    1.0  1  Seq99     
   1.5e-113  374.6   4.1   1.7e-113  374.5   4.1    1.0  1  Seq398    
   1.5e-113  374.6   4.2   1.7e-113  374.4   4.2    1.0  1  Seq17     
   1.5e-113  374.6   3.9   1.7e-113  374.4   3.9    1.0  1  Seq392    
   1.6e-113  374.5   5.0   1.8e-113  374.3   5.0    1.0  1  Seq162    
   1.6e-113  374.5   4.0   1.8e-113  374.3   4.0    1.0  1  Seq119    
   1.7e-113  374.5   4.2   1.9e-113  374.3   4.2    1.0  1  Seq82     
   1.8e-113  374.4   4.4     2e-113  374.2   4.4    1.0  1  Seq427    
   1.8e-113  374.3   4.2     2e-113  374.2   4.2    1.0  1  Seq445    
   1.8e-113  374.3   4.2   2.1e-113  374.2   4.2    1.0  1  Seq399    
   1.9e-113  374.2   4.3   2.2e-113  374.1   4.3    1.0  1  Seq219    
     2e-113  374.2   0.0   2.4e-113  374.0   0.0    1.0  1  Seq343    
   2.1e-113  374.1   4.3   2.4e-113  374.0   4.3    1.0  1  Seq137    
   2.1e-113  374.1   0.7   2.5e-113  373.9   0.7    1.0  1  Seq141    
   2.1e-113  374.1   4.3   2.4e-113  374.0   4.3    1.0  1  Seq444    
   2.1e-113  374.1   4.3   2.4e-113  374.0   4.3    1.0  1  Seq220    
   2.2e-113  374.1   4.6   2.5e-113  373.9   4.6    1.0  1  Seq53     
