,5
Seq373,369.6
Seq374,368.7
Seq375,373.8
Seq376,373.8
Seq377,386.7
Seq378,415.7
Seq379,385.3
Seq380,422.0
Seq381,428.5
Seq382,369.3
Seq383,367.5
Seq384,372.6
Seq385,374.0
Seq386,417.9
Seq387,374.0
Seq388,392.4
Seq389,372.0
Seq390,369.9
Seq391,376.4
Seq392,374.6
Seq393,387.0
Seq394,368.1
Seq395,391.3
Seq396,379.2
Seq397,373.2
Seq398,374.6
Seq399,374.3
Seq400,368.5
Seq401,437.9
Seq402,385.3
Seq403,437.1
Seq404,389.0
Seq405,379.5
Seq406,385.8
Seq407,375.0
Seq408,385.9
Seq409,372.9
Seq410,442.8
Seq411,387.2
Seq412,441.9
Seq413,372.3
Seq414,391.6
Seq415,375.7
Seq416,69.2
Seq417,375.6
Seq418,372.4
Seq419,374.7
Seq420,442.7
Seq421,440.3
Seq422,439.5
Seq423,373.9
Seq424,375.8
Seq425,389.4
Seq426,362.9
Seq427,374.4
Seq428,384.8
Seq429,372.4
Seq430,373.2
Seq431,370.6
Seq432,390.3
Seq433,417.5
Seq434,392.3
Seq435,440.2
Seq436,372.7
Seq437,385.4
Seq438,373.5
Seq439,374.7
Seq440,370.6
Seq441,385.2
Seq442,374.7
Seq443,372.6
Seq444,374.1
Seq445,374.3
Seq446,373.4
Seq447,441.4
Seq448,370.6
Seq449,388.1
Seq450,372.2
Seq451,439.8
Seq452,386.9
Seq453,366.2
Seq454,440.5
Seq455,439.9
Seq456,372.1
Seq457,395.6
Seq458,418.1
Seq459,443.1
Seq460,391.7
Seq461,372.6
Seq462,370.2
Seq463,377.2
Seq464,369.8
Seq465,437.3
Seq466,371.1
Seq467,372.9
Seq468,393.5
Seq469,371.2
Seq470,439.6
Seq471,369.6
Seq472,369.4
Seq473,373.7
Seq474,441.4
Seq475,386.3
Seq476,372.8
Seq477,375.0
Seq478,372.2
Seq479,375.1
Seq480,442.8
Seq481,372.1
Seq482,374.7
Seq483,373.3
Seq484,370.2
Seq485,375.7
Seq486,370.8
Seq487,373.7
Seq488,386.1
Seq489,447.0
Seq490,388.1
Seq491,373.7
Seq492,370.0
Seq493,373.2
Seq494,418.3
Seq495,369.3
Seq496,373.7
Seq497,440.9
Seq498,373.6
Seq499,368.2
Seq500,384.8
Seq501,417.7
