,0
Seq371,-6108
Seq372,-6154
Seq373,-6123
Seq374,-6124
Seq375,-6141
Seq376,-6124
Seq377,-6152
Seq378,-6109
Seq379,-6158
Seq380,-6104
Seq381,-6101
Seq382,-6112
Seq383,-6126
Seq384,-6123
Seq385,-6125
Seq386,-6101
Seq387,-6118
Seq388,-6150
Seq389,-6126
Seq390,-6123
Seq391,-6113
Seq392,-6125
Seq393,-6151
Seq394,-6107
Seq395,-6143
Seq396,-6113
Seq397,-6120
Seq398,-6115
Seq399,-6123
Seq400,-6128
Seq401,-6104
Seq402,-6156
Seq403,-6103
Seq404,-6154
Seq405,-6138
Seq406,-6145
Seq407,-6126
Seq408,-6151
Seq409,-6127
Seq410,-6091
Seq411,-6155
Seq412,-6067
Seq413,-6113
Seq414,-6151
Seq415,-6110
Seq416,-6484
Seq417,-6126
Seq418,-6114
Seq419,-6112
Seq420,-6091
Seq421,-6089
Seq422,-6095
Seq423,-6138
Seq424,-6122
Seq425,-6145
Seq426,-6134
Seq427,-6121
Seq428,-6145
Seq429,-6123
Seq430,-6123
Seq431,-6126
Seq432,-6133
Seq433,-6104
Seq434,-6151
Seq435,-6098
Seq436,-6120
Seq437,-6144
Seq438,-6117
Seq439,-6125
Seq440,-6120
Seq441,-6154
Seq442,-6112
Seq443,-6123
Seq444,-6112
Seq445,-6117
Seq446,-6115
Seq447,-6093
Seq448,-6125
Seq449,-6122
Seq450,-6118
Seq451,-6089
Seq452,-6155
Seq453,-6131
Seq454,-6092
Seq455,-6088
Seq456,-6124
Seq457,-6145
Seq458,-6102
Seq459,-6099
Seq460,-6141
Seq461,-6127
Seq462,-6124
Seq463,-6105
Seq464,-6129
Seq465,-6100
Seq466,-6125
Seq467,-6119
Seq468,-6129
Seq469,-6113
Seq470,-6085
Seq471,-6128
Seq472,-6118
Seq473,-6117
Seq474,-6096
Seq475,-6149
Seq476,-6118
Seq477,-6127
Seq478,-6122
Seq479,-6115
Seq480,-6092
Seq481,-6123
Seq482,-6128
Seq483,-6125
Seq484,-6121
Seq485,-6113
Seq486,-6125
Seq487,-6124
Seq488,-6187
Seq489,-6073
Seq490,-6151
Seq491,-6120
Seq492,-6124
Seq493,-6144
Seq494,-6105
Seq495,-6119
Seq496,-6117
Seq497,-6091
Seq498,-6117
Seq499,-6136
Seq500,-6157
Seq501,-6105
